"anio_censo","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"presos_totales",12987,20306,21859,23049,23015,26593,27066,26888,28094,30571,32253,33698,37586,42460,45392
"presos_ley23737",45,391,1084,1514,1744,2199,2516,2544,2576,2504,2652,2761,3801,5025,5459
"No tiene ni oficio ni profesión_total",6708,9208,11168,11933,10507,12024,10945,10577,13514,15372,17031,17453,19836,22698,23469
"No tiene ni oficio ni profesión_droga",13,156,506,730,798,1068,1006,1098,1286,1263,1313,1394,1989,2557,2667
"Tiene algún oficio_total",4317,8500,8126,8509,8764,9692,10916,12431,11322,11989,10373,11907,12083,15195,18417
"Tiene algún oficio_droga",27,221,500,647,766,835,1019,991,1001,1030,899,934,1203,1800,2329
"Tiene alguna profesión_total",1357,1361,1632,1649,2686,4141,4928,3494,2829,2646,4247,3924,5464,4451,3459
"Tiene alguna profesión_droga",5,14,69,114,133,285,472,423,266,189,383,406,599,660,460
"porcen_ley23737",0.00346500346500346,0.0192553924948291,0.049590557665035,0.065686146904421,0.0757766673908321,0.0826909337043583,0.0929579546294244,0.0946146980065457,0.0916921762653947,0.0819076902947238,0.0822249093107618,0.0819336459137041,0.101128079604108,0.118346679227508,0.120263482551992
"total_porcen_No_tiene_ni_oficio_ni_profesión",0.541754159263447,0.48287796947926,0.533690146229571,0.540174731791227,0.478526210320171,0.465019143752175,0.408563216245474,0.399101954569466,0.48848725826857,0.512280467890825,0.538087264225459,0.524366061771422,0.530615520423722,0.536038163612318,0.517565332451207
"total_porcen_Tiene_algún_oficio",0.348651267969633,0.44574964602234,0.388320749307082,0.385179484858087,0.399143781026552,0.374830800170167,0.407480682369629,0.469058938948004,0.409253569492138,0.399540107308295,0.327730561435658,0.357739454392501,0.32322178530348,0.358846589835632,0.406152828316242
"total_porcen_Tiene_alguna_profesión",0.10959457276692,0.0713723844984005,0.077989104463347,0.0746457833506858,0.122330008653277,0.160150056077658,0.183956101384897,0.13183910648253,0.102259172239292,0.0881794248008798,0.134182174338883,0.117894483836077,0.146162694272798,0.10511524655205,0.0762818392325504
"droga_porcen_No_tiene_ni_oficio_ni_profesión",0.288888888888889,0.398976982097187,0.470697674418605,0.489604292421194,0.470241602828521,0.488117001828154,0.402883460152183,0.437101910828025,0.503721112416765,0.508863819500403,0.50597302504817,0.509875640087784,0.524663677130045,0.509667131752043,0.488819648093842
"droga_porcen_Tiene_algún_oficio",0.6,0.565217391304348,0.465116279069767,0.433936955063716,0.451384796700059,0.381627056672761,0.408089707649179,0.394506369426752,0.392087739913827,0.414987912973409,0.346435452793834,0.341623994147769,0.317330519651807,0.358780147498505,0.426869501466276
"droga_porcen_Tiene_alguna_profesión",0.111111111111111,0.0358056265984655,0.0641860465116279,0.0764587525150905,0.0783736004714202,0.130255941499086,0.189026832198638,0.168391719745223,0.104191147669409,0.0761482675261886,0.147591522157996,0.148500365764448,0.158005803218148,0.131552720749452,0.0843108504398827
