"anio_censo","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"presos_totales",121,741,844,950,938,1079,1176,1179,1119,1181,1148,1218,1326,1600,1799
"presos_ley23737",6,109,286,394,407,437,508,547,417,342,329,384,433,636,735
"0_total",117,684,785,891,865,1008,1105,1114,1045,1108,1090,1168,1249,1543,1748
"0_droga",6,101,268,377,384,414,486,515,397,324,315,376,412,619,720
"1_total",4,57,59,59,73,71,71,65,74,73,58,50,77,57,51
"1_droga",0,8,18,17,23,23,22,32,20,18,14,8,21,17,15
"porcen_ley23737",0.0495867768595041,0.147098515519568,0.338862559241706,0.414736842105263,0.433901918976546,0.405004633920297,0.431972789115646,0.463952502120441,0.372654155495979,0.289585097375106,0.286585365853659,0.315270935960591,0.326546003016591,0.3975,0.408560311284047
"total_porcen_No_tiene_hijos",0.966942148760331,0.923076923076923,0.930094786729858,0.937894736842105,0.922174840085288,0.934198331788693,0.939625850340136,0.944868532654792,0.933869526362824,0.938187976291279,0.949477351916376,0.958949096880131,0.941930618401207,0.964375,0.971650917176209
"total_porcen_Tiene_hijos",0.0330578512396694,0.0769230769230769,0.0699052132701422,0.0621052631578947,0.0778251599147122,0.0658016682113068,0.0603741496598639,0.0551314673452078,0.066130473637176,0.0618120237087214,0.0505226480836237,0.0410509031198686,0.0580693815987934,0.035625,0.028349082823791
"droga_porcen_No_tiene_hijos",1,0.926605504587156,0.937062937062937,0.956852791878173,0.943488943488944,0.947368421052632,0.956692913385827,0.941499085923218,0.952038369304556,0.947368421052632,0.957446808510638,0.979166666666667,0.951501154734411,0.973270440251572,0.979591836734694
"droga_porcen_Tiene_hijos",0,0.073394495412844,0.0629370629370629,0.0431472081218274,0.0565110565110565,0.0526315789473684,0.0433070866141732,0.0585009140767824,0.0479616306954436,0.0526315789473684,0.0425531914893617,0.0208333333333333,0.0484988452655889,0.0267295597484277,0.0204081632653061
