"anio_censo","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"presos_totales",12987,20306,21859,23049,23015,26593,27066,26888,28094,30571,32253,33698,37586,42460,45392
"presos_ley23737",45,391,1084,1514,1744,2199,2516,2544,2576,2504,2652,2761,3801,5025,5459
"Argentina_total",12469,19607,20665,21567,21894,25478,26095,25757,26970,29216,30826,32147,35669,39755,42454
"Argentina_droga",43,369,1035,1397,1628,2076,2376,2362,2417,2322,2410,2471,3368,4368,4809
"Paraguaya_total",113,202,236,305,346,366,435,476,510,605,691,762,908,1106,1245
"Paraguaya_droga",0,7,19,36,44,46,65,73,70,75,93,134,204,293,337
"Peruana_total",18,26,36,59,75,56,81,97,99,157,191,222,239,332,400
"Peruana_droga",0,4,3,15,15,13,18,24,27,45,77,86,120,143,153
"Boliviana_total",42,48,86,77,76,192,104,116,120,138,170,174,227,202,204
"Boliviana_droga",0,0,5,8,5,11,14,14,23,24,27,34,40,27,24
"Uruguaya_total",92,132,167,176,190,173,159,152,154,150,149,140,163,176,205
"Uruguaya_droga",0,6,8,21,25,25,26,27,23,20,17,12,18,19,31
"Chilena_total",53,88,79,87,89,88,85,92,92,102,113,109,120,108,114
"Chilena_droga",2,4,4,9,11,8,9,14,7,7,12,11,16,11,11
"Brasileña_total",8,9,6,14,18,17,14,13,8,9,15,14,15,17,19
"Brasileña_droga",0,1,1,4,3,5,2,5,1,0,2,2,3,2,2
"Colombiana_total",1,1,1,1,3,4,7,10,20,37,39,47,56,75,89
"Colombiana_droga",0,0,0,0,0,0,0,0,0,1,3,3,8,8,9
"Otras_total",3,8,9,14,8,22,11,12,16,19,20,25,31,43,55
"Otras_droga",0,0,0,2,1,7,3,3,4,5,7,6,12,14,18
"porcen_ley23737",0.00346500346500346,0.0192553924948291,0.049590557665035,0.065686146904421,0.0757766673908321,0.0826909337043583,0.0929579546294244,0.0946146980065457,0.0916921762653947,0.0819076902947238,0.0822249093107618,0.0819336459137041,0.101128079604108,0.118346679227508,0.120263482551992
"total_porcen_Argentina",0.96011396011396,0.965576676844282,0.945377190173384,0.935702199661591,0.951292635237888,0.958071672996653,0.964124732136259,0.957936626004165,0.959991457250658,0.955676948742272,0.955756053700431,0.953973529586326,0.948996966955781,0.936292981629769,0.935274938315122
"total_porcen_Paraguaya",0.0087010087010087,0.00994779868019305,0.0107964682739375,0.0132326782072975,0.015033673691071,0.0137630203436995,0.0160718244291731,0.0177030645641178,0.0181533423506799,0.0197899970560335,0.0214243636250891,0.0226126179595228,0.0241579311445751,0.0260480452190297,0.0274277405710257
"total_porcen_Boliviana",0.00323400323400323,0.00236383334974884,0.00393430623541791,0.00334070892446527,0.00330219422116011,0.00721994509833415,0.00384245917387128,0.00431419220470098,0.0042713746707482,0.00451408197311177,0.00527082751992063,0.00516351118760757,0.00603948278614378,0.00475741874705605,0.00449418399718012
"total_porcen_Peruana",0.00138600138600139,0.00128040973111396,0.0016469188892447,0.00255976398108378,0.00325874429719748,0.00210581732034746,0.00299268454888051,0.00360755727462065,0.00352388410336727,0.00513558601288803,0.00592192974296965,0.00658792806694759,0.00635875059862715,0.00781912388130005,0.0088121254846669
"total_porcen_Uruguaya",0.00708400708400708,0.00650054171180932,0.00763987373621849,0.00763590611306347,0.00825548555290028,0.00650547136464483,0.00587452892928397,0.00565307944064267,0.00548159749412686,0.00490661084033888,0.00461972529687161,0.00415454923140839,0.0043367211195658,0.00414507772020725,0.00451621431089179
"total_porcen_Chilena",0.00408100408100408,0.00433369447453954,0.00361407200695366,0.00377456722634388,0.00386704323267434,0.00330914150340315,0.00314047144018326,0.00342160071407319,0.00327472058090696,0.00333649537143044,0.00350355005735901,0.00323461333016796,0.00319267812483371,0.00254357041921809,0.00251145576313007
"total_porcen_Brasileña",0.000616000616000616,0.000443218753077908,0.000274486481540784,0.000607401622630049,0.000782098631327395,0.000639265972248336,0.000517254119559595,0.000483487057423386,0.000284758311383214,0.000294396650420333,0.000465073016463585,0.000415454923140839,0.000399084765604214,0.000400376825247292,0.000418575960521678
"total_porcen_Colombiana",0.000077000077000077,0.0000492465281197676,0.000045747746923464,0.0000433858301878606,0.000130349771887899,0.000150415522881961,0.000258627059779798,0.000371913121094912,0.000711895778458034,0.00121029734061692,0.00120918984280532,0.0013947415276871,0.00148991645825573,0.00176636834667923,0.00196069792033839
"total_porcen_Otras",0.000231000231000231,0.00039397222495814,0.000411729722311176,0.000607401622630049,0.000347599391701065,0.000827285375850788,0.000406413951082539,0.000446295745313895,0.000569516622766427,0.000621504039776259,0.00062009735528478,0.000741883791322927,0.00082477518224871,0.00101271785209609,0.0012116672541417
"droga_porcen_Argentina",0.955555555555556,0.943734015345269,0.95479704797048,0.922721268163805,0.93348623853211,0.944065484311051,0.944356120826709,0.928459119496855,0.938276397515528,0.927316293929712,0.908748114630468,0.894965592176748,0.886082609839516,0.869253731343284,0.880930573365085
"droga_porcen_Paraguaya",0,0.0179028132992327,0.0175276752767528,0.023778071334214,0.0252293577981651,0.020918599363347,0.0258346581875994,0.0286949685534591,0.0271739130434783,0.0299520766773163,0.0350678733031674,0.0485331401666063,0.0536700868192581,0.0583084577114428,0.0617329181168712
"droga_porcen_Boliviana",0,0,0.00461254612546125,0.00528401585204756,0.00286697247706422,0.00500227376080036,0.00556438791732909,0.00550314465408805,0.00892857142857143,0.00958466453674121,0.0101809954751131,0.0123143788482434,0.0105235464351486,0.00537313432835821,0.00439640959882762
"droga_porcen_Peruana",0,0.010230179028133,0.00276752767527675,0.00990752972258917,0.00860091743119266,0.00591177808094588,0.00715421303656598,0.00943396226415094,0.0104813664596273,0.0179712460063898,0.0290346907993967,0.0311481347337921,0.0315706393054459,0.0284577114427861,0.0280271111925261
"droga_porcen_Uruguaya",0,0.0153452685421995,0.00738007380073801,0.0138705416116248,0.0143348623853211,0.011368804001819,0.0103338632750397,0.0106132075471698,0.00892857142857143,0.00798722044728434,0.00641025641025641,0.00434625135820355,0.00473559589581689,0.00378109452736318,0.00567869573181901
"droga_porcen_Chilena",0.0444444444444444,0.010230179028133,0.003690036900369,0.0059445178335535,0.00630733944954128,0.00363801728058208,0.00357710651828299,0.00550314465408805,0.00271739130434783,0.00279552715654952,0.00452488687782805,0.00398406374501992,0.00420941857405946,0.00218905472636816,0.00201502106612933
"droga_porcen_Brasileña",0,0.00255754475703325,0.000922509225092251,0.00264200792602378,0.00172018348623853,0.0022737608003638,0.000794912559618442,0.00196540880503145,0.000388198757763975,0,0.000754147812971342,0.000724375226367258,0.000789265982636148,0.000398009950248756,0.000366367466568969
"droga_porcen_Colombiana",0,0,0,0,0,0,0,0,0,0.000399361022364217,0.00113122171945701,0.00108656283955089,0.00210470928702973,0.00159203980099502,0.00164865359956036
"droga_porcen_Otras",0,0,0,0.00132100396301189,0.000573394495412844,0.00318326512050932,0.00119236883942766,0.00117924528301887,0.0015527950310559,0.00199680511182109,0.0026395173453997,0.00217312567910177,0.00315706393054459,0.00278606965174129,0.00329730719912072
