"anio_censo","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"presos_totales",12987,20306,21859,23049,23015,26593,27066,26888,28094,30571,32253,33698,37586,42460,45392
"presos_ley23737",45,391,1084,1514,1744,2199,2516,2544,2576,2504,2652,2761,3801,5025,5459
"Primario incompleto_total",3308,4883,4596,5000,5541,6774,7608,6849,8842,10188,8331,9532,9990,9076,10439
"Primario incompleto_droga",6,87,218,319,378,495,567,613,749,877,561,746,845,942,1092
"Primario completo_total",6716,10308,11083,11196,10308,11240,11293,11964,11311,12716,14105,13071,14592,17279,17254
"Primario completo_droga",23,202,548,719,796,983,1119,1118,1062,982,1106,1118,1529,1898,2017
"Secundario incompleto_total",1285,2128,2573,2727,2965,3394,3477,3439,3350,3586,4078,5036,5642,6786,7909
"Secundario incompleto_droga",11,51,155,220,263,320,357,359,373,308,329,412,598,892,1078
"Ninguno_total",752,1095,1420,1647,1213,1937,1394,1976,2327,1420,2833,2845,3873,4793,2823
"Ninguno_droga",0,15,73,114,106,157,122,180,175,114,359,189,403,713,351
"Universitario completo_total",13,26,27,19,24,25,38,35,35,35,45,42,44,76,68
"Universitario completo_droga",0,0,1,0,2,0,2,1,3,2,2,2,3,4,1
"Secundario completo_total",448,797,923,1021,957,1224,1534,1426,1416,1522,2145,2336,2647,3802,4437
"Secundario completo_droga",4,25,69,92,102,135,184,174,159,142,230,209,346,497,617
"Terciario completo_total",38,53,55,70,70,87,112,104,106,91,110,140,167,212,248
"Terciario completo_droga",0,1,2,5,5,7,17,10,10,9,18,15,14,31,26
"Terciario incompleto_total",37,62,58,73,58,122,88,113,158,95,127,233,145,131,203
"Terciario incompleto_droga",0,2,4,8,4,8,6,10,16,10,16,29,28,21,36
"Polimodal Incompleto_total",15,89,62,81,103,110,65,69,14,68,5,0,0,0,0
"Polimodal Incompleto_droga",0,2,0,2,12,9,7,4,1,4,0,0,0,0,0
"EGB 3 Completo_total",5,80,28,53,82,77,136,43,7,36,4,0,0,0,0
"EGB 3 Completo_droga",0,4,0,4,3,9,12,0,0,3,0,0,0,0,0
"EGB 2 Completo_total",3,107,93,36,45,26,91,26,21,4,6,0,0,0,0
"EGB 2 Completo_droga",0,0,0,1,7,2,10,2,1,0,0,0,0,0,0
"EGB 1 Incompleto_total",14,23,57,23,84,129,116,153,19,38,4,0,0,0,0
"EGB 1 Incompleto_droga",0,0,1,0,1,8,7,13,1,5,0,0,0,0,0
"Universitario incompleto_total",18,72,72,60,65,80,78,92,78,63,81,145,126,119,226
"Universitario incompleto_droga",0,1,2,4,5,3,2,5,2,3,11,13,10,11,16
"EGB 1 Completo_total",19,88,40,25,93,136,82,88,49,3,15,0,0,0,0
"EGB 1 Completo_droga",0,0,0,0,6,6,8,3,2,0,0,0,0,0,0
"EGB 3 Incompleto_total",3,93,30,44,145,102,188,17,21,62,1,0,0,0,0
"EGB 3 Incompleto_droga",0,0,1,0,6,13,20,0,0,4,0,0,0,0,0
"Polimodal Completo_total",13,33,9,16,30,34,18,13,3,27,4,0,0,0,0
"Polimodal Completo_droga",0,0,0,1,0,1,0,0,0,3,2,0,0,0,0
"EGB 2 Incompleto_total",3,52,7,45,19,50,40,10,22,5,11,0,0,0,0
"EGB 2 Incompleto_droga",0,0,1,1,0,7,5,0,2,0,1,0,0,0,0
"porcen_ley23737",0.00346500346500346,0.0192553924948291,0.049590557665035,0.065686146904421,0.0757766673908321,0.0826909337043583,0.0929579546294244,0.0946146980065457,0.0916921762653947,0.0819076902947238,0.0822249093107618,0.0819336459137041,0.101128079604108,0.118346679227508,0.120263482551992
"total_porcen_Primario_incompleto",0.356388709329886,0.3352787695688,0.313805817287997,0.313676286072773,0.325271499853243,0.321332005123097,0.335553301283465,0.321519106187212,0.349348083761359,0.371404615216361,0.318816731085684,0.319426292684562,0.306216282491417,0.266384902116169,0.283730158730159
"total_porcen_Primario_completo",0.356388709329886,0.3352787695688,0.313805817287997,0.313676286072773,0.325271499853243,0.321332005123097,0.335553301283465,0.321519106187212,0.349348083761359,0.371404615216361,0.318816731085684,0.319426292684562,0.306216282491417,0.266384902116169,0.283730158730159
"total_porcen_Secundario_incompleto",0.138439991381168,0.146113705026092,0.175679366379899,0.17107904642409,0.174053419430584,0.160998055120725,0.153354209853129,0.161440240353018,0.132358751481628,0.130728008457584,0.156059852282729,0.168761100499313,0.172940166748406,0.199172316632914,0.214965209828224
"total_porcen_Secundario_completo",0.0482654600301659,0.054723976929415,0.0630206199644954,0.0640526976160602,0.0561784561197535,0.0580617617760068,0.0676575662682486,0.0669420711670266,0.055946266297906,0.0554846706281215,0.0820864107764724,0.0782815589289903,0.0811365865620402,0.11159050218661,0.12059686888454
"total_porcen_Ninguno",0.0810170221934928,0.0751853886294974,0.0969547999453776,0.103324968632371,0.0712063398884649,0.0918836867321285,0.0614828209764919,0.0927612430757675,0.0919399446858949,0.0517662498632934,0.1084152921817,0.0953386280620623,0.118716282491417,0.140676821930674,0.0767286366601435
"total_porcen_Universitario_completo",0.00140056022408964,0.0017852238396045,0.00184350675952478,0.00119196988707654,0.0014088641033167,0.00118590199705896,0.00167600229347682,0.00164303821237442,0.00138285262741999,0.00127592869381357,0.00172209253377215,0.00140745953553835,0.00134870034330554,0.0022306360247718,0.00184822787562514
"total_porcen_Universitario_incompleto",0.00193923723335488,0.00494369678659709,0.00491601802539943,0.00376411543287327,0.0038156736131494,0.00379488639058868,0.00344021523397874,0.00431884330109849,0.00308178585539313,0.00229667164886442,0.00309976656078987,0.00485908649173955,0.0038621873467386,0.00349270640720848,0.00614263970428354
"total_porcen_Terciario_completo",0.00409394527041586,0.00363911013457841,0.00375529154718012,0.00439146800501882,0.00410918696800704,0.00412693894976519,0.00493979623340537,0.00488217068819829,0.00418806795732912,0.00331741460391528,0.00420955952699858,0.00469153178512784,0.00511893084845513,0.00622230049015292,0.00674059578169167
"total_porcen_Terciario_incompleto",0.00398620986856281,0.00425707223290305,0.00396012563157176,0.00457967377666248,0.00340475491634869,0.00578720174564774,0.00388126846910422,0.00530466622852314,0.00624259186092454,0.0034632350260654,0.00486012781753473,0.00780804932810563,0.00444458067680235,0.00384491209533034,0.00551750380517504
"total_porcen_Polimodal_Incompleto",0.00161603102779573,0.00611095852787696,0.00423323774409395,0.00508155583437892,0.00604637511006751,0.00521796878705944,0.00286684602831562,0.00323913247582387,0.000553141050967997,0.00247894717655208,0.000191343614863572,0,0,0,0
"total_porcen_Polimodal_Completo",0.00140056022408964,0.00226586102719033,0.000614502253174928,0.00100376411543287,0.00176108012914588,0.00161282671600019,0.000793895823225863,0.000610271336024786,0.000118530225207428,0.000984287849513324,0.000153074891890858,0,0,0,0
"total_porcen_EGB_3_Completo",0.000538677009265245,0.00549299642955232,0.00191178478765533,0.00332496863237139,0.0048136190196654,0.00365257815094161,0.00599832399770652,0.00201858980377429,0.000276570525483998,0.0013123837993511,0.000153074891890858,0,0,0,0
"total_porcen_EGB_3_Incompleto",0.000323206205559147,0.00638560834935457,0.00204834084391643,0.0027603513174404,0.00851188729087173,0.00483848014800057,0.00829180082035902,0.000798047131724721,0.000829711576451995,0.00226021654332689,0.0000382687229727144,0,0,0,0
"total_porcen_EGB_2_Completo",0.000323206205559147,0.00734688272452623,0.00634985661614093,0.00225846925972396,0.00264162019371881,0.00123333807694132,0.00401358443964187,0.00122054267204957,0.000829711576451995,0.000145820422150122,0.000229612337836286,0,0,0,0
"total_porcen_EGB_2_Incompleto",0.000323206205559147,0.00357044767920901,0.000477946196913833,0.00282308657465496,0.00111535074845905,0.00237180399411793,0.00176421294050192,0.000469439489249836,0.000869221651521138,0.000182275527687653,0.000420955952699858,0,0,0,0
"total_porcen_EGB_1_Completo",0.00204697263520793,0.00604229607250755,0.0027311211252219,0.00156838143036386,0.00545934840035222,0.00645130686400076,0.00361663652802893,0.00413106750539855,0.00193599367838799,0.000109365316612592,0.000574030844590716,0,0,0,0
"total_porcen_EGB_1_Incompleto",0.00150829562594268,0.00157923647349629,0.00389184760344121,0.00144291091593476,0.00493102436160845,0.00611925430482425,0.00511621752745556,0.00718242418552249,0.00075069142631371,0.00138529401042616,0.000153074891890858,0,0,0,0
"droga_porcen_Primario_incompleto",0.222222222222222,0.316363636363636,0.29261744966443,0.292660550458716,0.295774647887324,0.295522388059701,0.299524564183835,0.308505284348264,0.333927775300936,0.3714527742482,0.268421052631579,0.315967810249894,0.273285899094437,0.232420429311621,0.253423067997215
"droga_porcen_Primario_completo",0.222222222222222,0.316363636363636,0.29261744966443,0.292660550458716,0.295774647887324,0.295522388059701,0.299524564183835,0.308505284348264,0.333927775300936,0.3714527742482,0.268421052631579,0.315967810249894,0.273285899094437,0.232420429311621,0.253423067997215
"droga_porcen_Secundario_incompleto",0.407407407407407,0.185454545454545,0.208053691275168,0.201834862385321,0.205790297339593,0.191044776119403,0.188589540412044,0.180674383492703,0.166295140436915,0.130453197797543,0.157416267942584,0.174502329521389,0.193402328589909,0.220083888477671,0.250174054304943
"droga_porcen_Secundario_completo",0.148148148148148,0.0909090909090909,0.0926174496644295,0.0844036697247706,0.07981220657277,0.0805970149253731,0.0972002113048072,0.0875691997986915,0.0708872046366473,0.0601440067767895,0.110047846889952,0.0885218127911902,0.111901681759379,0.122625215889465,0.143188674866558
"droga_porcen_Ninguno",0,0.0545454545454545,0.0979865771812081,0.104587155963303,0.0829420970266041,0.0937313432835821,0.0644479661912308,0.0905888273779567,0.0780205082478823,0.048284625158831,0.17177033492823,0.0800508259212198,0.130336351875809,0.175919072292129,0.0814574147133906
"droga_porcen_Universitario_completo",0,0,0.00134228187919463,0,0.00156494522691706,0,0.00105652403592182,0.000503271263210871,0.00133749442710655,0.000847098686997035,0.000956937799043062,0.000847098686997035,0.000970245795601552,0.000986923266716013,0.000232072406590856
"droga_porcen_Universitario_incompleto",0,0.00363636363636364,0.00268456375838926,0.0036697247706422,0.00391236306729264,0.0017910447761194,0.00105652403592182,0.00251635631605435,0.000891662951404369,0.00127064803049555,0.00526315789473684,0.00550614146548073,0.00323415265200517,0.00271403898346904,0.0037131585054537
"droga_porcen_Terciario_completo",0,0.00363636363636364,0.00268456375838926,0.00458715596330275,0.00391236306729264,0.00417910447761194,0.00898045430533545,0.00503271263210871,0.00445831475702185,0.00381194409148666,0.00861244019138756,0.00635324015247776,0.00452781371280724,0.0076486553170491,0.00603388257136226
"droga_porcen_Terciario_incompleto",0,0.00727272727272727,0.00536912751677852,0.0073394495412844,0.00312989045383412,0.00477611940298507,0.00316957210776545,0.00503271263210871,0.00713330361123495,0.00423549343498518,0.0076555023923445,0.012282930961457,0.00905562742561449,0.00518134715025907,0.00835460663727083
"droga_porcen_Polimodal_Incompleto",0,0.00727272727272727,0,0.0018348623853211,0.00938967136150235,0.00537313432835821,0.00369783412572636,0.00201308505284348,0.000445831475702185,0.00169419737399407,0,0,0,0,0
"droga_porcen_Polimodal_Completo",0,0,0,0.000917431192660551,0,0.000597014925373134,0,0,0,0.00127064803049555,0.000956937799043062,0,0,0,0
"droga_porcen_EGB_3_Completo",0,0.0145454545454545,0,0.0036697247706422,0.00234741784037559,0.00537313432835821,0.0063391442155309,0,0,0.00127064803049555,0,0,0,0,0
"droga_porcen_EGB_3_Incompleto",0,0,0.00134228187919463,0,0.00469483568075117,0.00776119402985075,0.0105652403592182,0,0,0.00169419737399407,0,0,0,0,0
"droga_porcen_EGB_2_Completo",0,0,0,0.000917431192660551,0.0054773082942097,0.00119402985074627,0.00528262017960909,0.00100654252642174,0.000445831475702185,0,0,0,0,0,0
"droga_porcen_EGB_2_Incompleto",0,0,0.00134228187919463,0.000917431192660551,0,0.00417910447761194,0.00264131008980454,0,0.000891662951404369,0,0.000478468899521531,0,0,0,0
"droga_porcen_EGB_1_Completo",0,0,0,0,0.00469483568075117,0.00358208955223881,0.00422609614368727,0.00150981378963261,0.000891662951404369,0,0,0,0,0,0
"droga_porcen_EGB_1_Incompleto",0,0,0.00134228187919463,0,0.000782472613458529,0.00477611940298507,0.00369783412572636,0.00654252642174132,0.000445831475702185,0.00211774671749259,0,0,0,0,0
