"anio_censo","provincia_descripcion","presos_totales","presos_ley23737","porcen_ley23737","cambioporc_totales","cambioporc_23737"
2005,"Buenos Aires",12987,45,0.00346500346500346,NA,NA
2006,"Buenos Aires",20306,391,0.0192553924948291,0.563563563563564,7.68888888888889
2007,"Buenos Aires",21859,1084,0.049590557665035,0.076479858169999,1.77237851662404
2008,"Buenos Aires",23049,1514,0.065686146904421,0.0544398188389222,0.396678966789668
2009,"Buenos Aires",23015,1744,0.0757766673908321,-0.00147511822638726,0.151915455746367
2010,"Buenos Aires",26593,2199,0.0826909337043583,0.155463827938301,0.260894495412844
2011,"Buenos Aires",27066,2516,0.0929579546294244,0.0177866355807919,0.144156434743065
2012,"Buenos Aires",26888,2544,0.0946146980065457,-0.00657651666297199,0.0111287758346582
2012,"Córdoba",6307,341,0.054066909782781,NA,NA
2013,"Buenos Aires",28094,2576,0.0916921762653947,0.0448527224040464,0.0125786163522013
2013,"Córdoba",6977,533,0.0763938655582629,0.106231171713969,0.563049853372434
2014,"Buenos Aires",30571,2504,0.0819076902947238,0.0881682921620275,-0.0279503105590062
2014,"Córdoba",6347,506,0.0797227036395147,-0.0902966891213989,-0.050656660412758
2014,"Salta",2416,264,0.109271523178808,NA,NA
2015,"Buenos Aires",32253,2652,0.0822249093107618,0.0550194628896667,0.0591054313099042
2015,"Chaco",1276,79,0.0619122257053292,NA,NA
2015,"Córdoba",6802,520,0.0764481034989709,0.071687411375453,0.0276679841897233
2015,"Formosa",463,18,0.0388768898488121,NA,NA
2015,"Salta",2602,355,0.136433512682552,0.0769867549668874,0.34469696969697
2016,"Buenos Aires",33698,2761,0.0819336459137041,0.0448020339193253,0.0411010558069382
2016,"Chaco",1318,71,0.0538694992412747,0.0329153605015674,-0.10126582278481
2016,"Córdoba",7320,1582,0.216120218579235,0.0761540723316672,2.04230769230769
2016,"Formosa",555,61,0.10990990990991,0.198704103671706,2.38888888888889
2016,"Salta",2774,391,0.140951694304254,0.0661029976940815,0.101408450704225
2017,"Buenos Aires",37586,3801,0.101128079604108,0.115377767226542,0.376675117710974
2017,"Chaco",1352,77,0.0569526627218935,0.0257966616084977,0.0845070422535211
2017,"Córdoba",8387,911,0.108620484082509,0.145765027322404,-0.424146649810367
2017,"Formosa",625,103,0.1648,0.126126126126126,0.688524590163934
2017,"Salta",2962,399,0.134706279540851,0.0677721701514059,0.020460358056266
2018,"Buenos Aires",42460,5025,0.118346679227508,0.129675943170329,0.322020520915549
2018,"Chaco",1319,83,0.0629264594389689,-0.0244082840236686,0.0779220779220779
2018,"Córdoba",9205,1165,0.12656165127648,0.0975318945987838,0.278814489571899
2018,"Entre Rios",2486,575,0.231295253419147,NA,NA
2018,"Formosa",700,131,0.187142857142857,0.12,0.271844660194175
2018,"Salta",3266,440,0.134721371708512,0.102633355840648,0.102756892230576
2018,"Santiago del Estero",478,33,0.0690376569037657,NA,NA
2019,"Buenos Aires",45392,5459,0.120263482551992,0.0690532265661799,0.0863681592039801
2019,"Chaco",1263,71,0.056215360253365,-0.042456406368461,-0.144578313253012
2019,"Córdoba",9962,1292,0.129692832764505,0.0822379141770777,0.109012875536481
2019,"Entre Rios",2610,607,0.232567049808429,0.0498793242156074,0.0556521739130435
2019,"Formosa",696,139,0.199712643678161,-0.00571428571428571,0.0610687022900763
2019,"Salta",3433,417,0.121468103699388,0.0511328842620943,-0.0522727272727273
2019,"Santiago del Estero",427,17,0.0398126463700234,-0.106694560669456,-0.484848484848485
