"anio_censo","provincia_descripcion","procesados_droga","condenados_droga","procesados_porcen_droga","procesados_NOdroga","condenados_NOdroga","procesados_porcen_NOdroga","diferencia_procesados"
2005,"Buenos Aires",33,12,0.733333333333333,10380,2310,0.817966903073286,-0.0846335697399527
2006,"Buenos Aires",378,13,0.966751918158568,15151,4228,0.781825687599979,0.184926230558588
2007,"Buenos Aires",1015,63,0.941558441558442,15689,4545,0.775378076504893,0.166180365053549
2008,"Buenos Aires",1299,211,0.860264900662252,15847,5219,0.752254818190449,0.108010082471803
2009,"Buenos Aires",1322,409,0.763720392836511,14073,6733,0.676391425550322,0.0873289672861887
2010,"Buenos Aires",1614,582,0.734972677595628,14511,9394,0.607027818448023,0.127944859147605
2011,"Buenos Aires",1748,753,0.698920431827269,13692,10351,0.569479682235994,0.129440749591275
2012,"Buenos Aires",1756,749,0.700998003992016,13278,10614,0.555750878955299,0.145247125036717
2012,"Córdoba",271,70,0.794721407624633,2930,3036,0.491116325846463,0.30360508177817
2013,"Buenos Aires",1663,874,0.655498620417816,13431,11587,0.536853465504836,0.11864515491298
2013,"Córdoba",459,74,0.861163227016886,3539,2905,0.5491930477964,0.311970179220486
2014,"Buenos Aires",1669,794,0.677628907835972,14860,12630,0.54056020371044,0.137068704125532
2014,"Córdoba",414,92,0.818181818181818,3102,2739,0.531073446327684,0.287108371854135
2014,"Salta",194,70,0.734848484848485,924,1208,0.433395872420263,0.301452612428222
2015,"Buenos Aires",1771,835,0.679585571757483,15282,13836,0.524830002060581,0.154755569696902
2015,"Chaco",76,3,0.962025316455696,292,905,0.243943191311612,0.718082125144084
2015,"Córdoba",408,112,0.784615384615385,3550,2732,0.565106653931869,0.219508730683516
2015,"Salta",171,184,0.48169014084507,867,1359,0.389487870619946,0.0922022702251243
2016,"Buenos Aires",1767,973,0.644890510948905,14905,15691,0.487155183684142,0.157735327264763
2016,"Chaco",60,11,0.845070422535211,224,1020,0.180064308681672,0.665006113853539
2016,"Córdoba",778,804,0.491782553729456,3495,2243,0.609097246427327,-0.11731469269787
2016,"Salta",102,289,0.260869565217391,782,1578,0.33135593220339,-0.0704863669859985
2017,"Buenos Aires",2425,1336,0.644775325711247,14652,18763,0.438485710010474,0.206289615700773
2017,"Chaco",29,48,0.376623376623377,172,1098,0.135433070866142,0.241190305757235
2017,"Córdoba",724,187,0.794731064763996,4247,3229,0.568084537185661,0.226646527578335
2017,"Formosa",94,9,0.912621359223301,264,247,0.516634050880626,0.395987308342675
2017,"Salta",128,271,0.320802005012531,813,1722,0.320710059171598,0.0000919458409336937
2018,"Buenos Aires",3396,1582,0.682201687424669,16848,20140,0.455499080782957,0.226702606641712
2018,"Chaco",17,66,0.204819277108434,130,1101,0.105605199025183,0.0992140780832509
2018,"Córdoba",935,230,0.802575107296137,4570,3470,0.568407960199005,0.234167147097132
2018,"Entre Rios",333,242,0.579130434782609,150,1754,0.078781512605042,0.500348922177567
2018,"Formosa",102,29,0.778625954198473,264,295,0.472271914132379,0.306354040066094
2018,"Salta",132,286,0.315789473684211,929,1893,0.329199149539334,-0.0134096758551233
2018,"Santiago del Estero",24,9,0.727272727272727,35,410,0.0786516853932584,0.648621041879469
2019,"Buenos Aires",3475,1945,0.641143911439114,16803,22716,0.425187884308813,0.215956027130301
2019,"Chaco",13,58,0.183098591549296,98,1094,0.0822147651006711,0.100883826448625
2019,"Córdoba",991,301,0.76702786377709,4933,3737,0.568973471741638,0.198054392035452
2019,"Entre Rios",289,318,0.476112026359143,155,1840,0.0776942355889724,0.398417790770171
2019,"Formosa",103,36,0.741007194244604,238,308,0.435897435897436,0.305109758347168
2019,"Salta",137,280,0.328537170263789,977,2008,0.327303182579564,0.0012339876842245
2019,"Santiago del Estero",6,11,0.352941176470588,15,395,0.0365853658536585,0.31635581061693
