"anio_censo","procesados","condenados","procesados_porcen"
2005,10413,2322,0.817667844522968
2006,15529,4241,0.785483055134041
2007,16704,4608,0.783783783783784
2008,17146,5430,0.759479092841956
2009,15395,7142,0.683098904024493
2010,16125,9976,0.617792421746293
2011,15440,11104,0.581675708257987
2012,15034,11363,0.569534416789787
2013,15094,12461,0.547777172926874
2014,16529,13424,0.551831202216806
2015,17053,14671,0.537542554532846
2016,16672,16664,0.500119990400768
2017,17077,20099,0.459355498170863
2018,20244,21722,0.482390506600581
2019,20278,24661,0.451233894835221
