"provincia_descripcion","Buenos Aires","Chaco","Córdoba","Entre Rios","Formosa","Salta","Santiago del Estero"
"presos_totales","45392"," 1263"," 9962"," 2610","  696"," 3433","  427"
"presos_ley23737","5459","  71","1292"," 607"," 139"," 417","  17"
"Argentina_total","42454"," 1256"," 9842"," 2546","  662"," 3377","  415"
"Argentina_droga","4809","  71","1257"," 560"," 130"," 412","   8"
"Paraguaya_total","1245","   3","  12","  36","  31","   1","   1"
"Paraguaya_droga","337","  0","  5"," 31","  8","  0","  0"
"Peruana_total","400","  0"," 47","  5","  0","  2","  0"
"Peruana_droga","153","  0"," 24","  3","  0","  0","  0"
"Boliviana_total","204","  2"," 19","  2","  0"," 41"," 10"
"Boliviana_droga","24"," 0"," 1"," 2"," 0"," 5"," 9"
"Uruguaya_total","205","  1","  4"," 14","  2","  2","  0"
"Uruguaya_droga","31"," 0"," 0"," 8"," 1"," 0"," 0"
"Chilena_total","114","  1","  8","  1","  1","  3","  0"
"Chilena_droga","11"," 0"," 1"," 0"," 0"," 0"," 0"
"Brasileña_total","19"," 0"," 5"," 4"," 0"," 0"," 0"
"Brasileña_droga","2","0","1","2","0","0","0"
"Colombiana_total","89"," 0"," 4"," 0"," 0"," 3"," 1"
"Colombiana_droga","9","0","1","0","0","0","0"
"Otras_total","55"," 0","18"," 1"," 0"," 2"," 0"
"Otras_droga","18"," 0"," 2"," 0"," 0"," 0"," 0"
"porcen_ley23737","0.12026348","0.05621536","0.12969283","0.23256705","0.19971264","0.12146810","0.03981265"
"total_porcen_Argentina","0.9352749","0.9944576","0.9879542","0.9754789","0.9511494","0.9836877","0.9718970"
"total_porcen_Paraguaya","0.0274277406","0.0023752969","0.0012045774","0.0137931034","0.0445402299","0.0002912904","0.0023419204"
"total_porcen_Boliviana","0.0044941840","0.0015835313","0.0019072475","0.0007662835","0.0000000000","0.0119429071","0.0234192037"
"total_porcen_Peruana","0.0088121255","0.0000000000","0.0047179281","0.0019157088","0.0000000000","0.0005825808","0.0000000000"
"total_porcen_Uruguaya","0.0045162143","0.0007917656","0.0004015258","0.0053639847","0.0028735632","0.0005825808","0.0000000000"
"total_porcen_Chilena","0.0025114558","0.0007917656","0.0008030516","0.0003831418","0.0014367816","0.0008738712","0.0000000000"
"total_porcen_Brasileña","0.0004185760","0.0000000000","0.0005019072","0.0015325670","0.0000000000","0.0000000000","0.0000000000"
"total_porcen_Colombiana","0.0019606979","0.0000000000","0.0004015258","0.0000000000","0.0000000000","0.0008738712","0.0023419204"
"total_porcen_Otras","0.0012116673","0.0000000000","0.0018068661","0.0003831418","0.0000000000","0.0005825808","0.0000000000"
"droga_porcen_Argentina","0.8809306","1.0000000","0.9729102","0.9225700","0.9352518","0.9880096","0.4705882"
"droga_porcen_Paraguaya","0.061732918","0.000000000","0.003869969","0.051070840","0.057553957","0.000000000","0.000000000"
"droga_porcen_Boliviana","0.0043964096","0.0000000000","0.0007739938","0.0032948929","0.0000000000","0.0119904077","0.5294117647"
"droga_porcen_Peruana","0.028027111","0.000000000","0.018575851","0.004942339","0.000000000","0.000000000","0.000000000"
"droga_porcen_Uruguaya","0.005678696","0.000000000","0.000000000","0.013179572","0.007194245","0.000000000","0.000000000"
"droga_porcen_Chilena","0.0020150211","0.0000000000","0.0007739938","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"droga_porcen_Brasileña","0.0003663675","0.0000000000","0.0007739938","0.0032948929","0.0000000000","0.0000000000","0.0000000000"
"droga_porcen_Colombiana","0.0016486536","0.0000000000","0.0007739938","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"droga_porcen_Otras","0.003297307","0.000000000","0.001547988","0.000000000","0.000000000","0.000000000","0.000000000"
