"anio_censo","provincia_descripcion","presos_totales","presos_ley23737","mujeres_total","mujeres_droga","varones_total","varones_droga","transexual_total","transexual_droga","porcen_ley23737","mujeres_porcen_droga","varones_porcen_droga","transexuales_porcen_droga","total_porcen_mujeres","total_porcen_varones","total_porcen_transexuales","droga_porcen_mujeres","droga_porcen_varones","droga_porcen_transexuales"
2005,"Buenos Aires",12987,45,121,6,12866,39,0,0,0.00346500346500346,0.0495867768595041,0.00303124514223535,0,0.00931700931700932,0.990682990682991,0,0.133333333333333,0.866666666666667,0
2006,"Buenos Aires",20306,391,741,109,19565,282,0,0,0.0192553924948291,0.147098515519568,0.0144134934832609,0,0.0364916773367478,0.963508322663252,0,0.278772378516624,0.721227621483376,0
2007,"Buenos Aires",21859,1084,844,286,21015,798,0,0,0.049590557665035,0.338862559241706,0.0379728765167737,0,0.0386110984034036,0.961388901596596,0,0.263837638376384,0.736162361623616,0
2008,"Buenos Aires",23049,1514,950,394,22099,1120,0,0,0.065686146904421,0.414736842105263,0.0506810262907824,0,0.0412165386784676,0.958783461321532,0,0.260237780713342,0.739762219286658,0
2009,"Buenos Aires",23015,1744,938,407,22077,1337,0,0,0.0757766673908321,0.433901918976546,0.060560764596639,0,0.0407560286769498,0.95924397132305,0,0.233371559633028,0.766628440366973,0
2010,"Buenos Aires",26593,2199,1079,437,25514,1762,0,0,0.0826909337043583,0.405004633920297,0.0690601238535706,0,0.0405745872974091,0.959425412702591,0,0.198726693951796,0.801273306048204,0
2011,"Buenos Aires",27066,2516,1176,508,25890,2008,0,0,0.0929579546294244,0.431972789115646,0.0775589030513712,0,0.043449346043006,0.956550653956994,0,0.201907790143084,0.798092209856916,0
2012,"Buenos Aires",26888,2544,1179,547,25709,1997,0,0,0.0946146980065457,0.463952502120441,0.0776770780660469,0,0.0438485569770901,0.95615144302291,0,0.21501572327044,0.78498427672956,0
2012,"Córdoba",6307,341,222,37,6085,304,0,0,0.054066909782781,0.166666666666667,0.0499589153656532,0,0.0351989852544791,0.964801014745521,0,0.108504398826979,0.891495601173021,0
2013,"Buenos Aires",28094,2576,1119,417,26975,2159,0,0,0.0916921762653947,0.372654155495979,0.0800370713623726,0,0.039830568804727,0.960169431195273,0,0.161878881987578,0.838121118012422,0
2013,"Córdoba",6977,533,286,92,6691,441,0,0,0.0763938655582629,0.321678321678322,0.0659094305783889,0,0.0409918302995557,0.959008169700444,0,0.172607879924953,0.827392120075047,0
2014,"Buenos Aires",30571,2504,1181,342,29390,2162,0,0,0.0819076902947238,0.289585097375106,0.0735624362027901,0,0.0386313826829348,0.961368617317065,0,0.136581469648562,0.863418530351438,0
2014,"Córdoba",6347,506,254,97,6093,409,0,0,0.0797227036395147,0.381889763779528,0.0671262104053832,0,0.0400189065700331,0.959981093429967,0,0.191699604743083,0.808300395256917,0
2014,"Salta",2416,264,164,94,2252,170,0,0,0.109271523178808,0.573170731707317,0.0754884547069272,0,0.0678807947019868,0.932119205298013,0,0.356060606060606,0.643939393939394,0
2015,"Buenos Aires",32253,2652,1148,329,31105,2323,0,0,0.0822249093107618,0.286585365853659,0.0746825269249317,0,0.0355935881933464,0.964406411806654,0,0.124057315233786,0.875942684766214,0
2015,"Chaco",1276,79,35,1,1241,78,0,0,0.0619122257053292,0.0285714285714286,0.0628525382755842,0,0.0274294670846395,0.972570532915361,0,0.0126582278481013,0.987341772151899,0
2015,"Córdoba",6802,520,267,91,6535,429,0,0,0.0764481034989709,0.340823970037453,0.0656465187452181,0,0.0392531608350485,0.960746839164952,0,0.175,0.825,0
2015,"Formosa",463,18,22,7,439,11,2,0,0.0388768898488121,0.318181818181818,0.0250569476082005,0,0.0475161987041037,0.948164146868251,0.00431965442764579,0.388888888888889,0.611111111111111,0
2015,"Salta",2602,355,152,87,2449,268,1,0,0.136433512682552,0.572368421052632,0.109432421396488,0,0.0584166026133743,0.94119907763259,0.000384319754035357,0.245070422535211,0.754929577464789,0
2016,"Buenos Aires",33698,2761,1218,384,32466,2364,14,13,0.0819336459137041,0.315270935960591,0.0728146368508594,0.928571428571429,0.036144578313253,0.963439966763606,0.000415454923140839,0.139080043462514,0.856211517566099,0.00470843897138718
2016,"Chaco",1318,71,34,4,1284,67,0,0,0.0538694992412747,0.117647058823529,0.0521806853582555,0,0.0257966616084977,0.974203338391502,0,0.0563380281690141,0.943661971830986,0
2016,"Córdoba",7320,1582,309,126,7011,1456,0,0,0.216120218579235,0.407766990291262,0.207673655683925,0,0.0422131147540984,0.957786885245902,0,0.079646017699115,0.920353982300885,0
2016,"Formosa",555,61,34,14,518,47,3,0,0.10990990990991,0.411764705882353,0.0907335907335907,0,0.0612612612612613,0.933333333333333,0.00540540540540541,0.229508196721311,0.770491803278688,0
2016,"Salta",2774,391,149,80,2625,311,0,0,0.140951694304254,0.536912751677852,0.11847619047619,0,0.0537130497476568,0.946286950252343,0,0.20460358056266,0.79539641943734,0
2017,"Buenos Aires",37586,3801,1326,433,36191,3310,69,58,0.101128079604108,0.326546003016591,0.0914592025641734,0.840579710144927,0.0352790932794125,0.962885116798808,0.00183578992177939,0.113917390160484,0.87082346750855,0.0152591423309655
2017,"Chaco",1352,77,36,7,1316,70,0,0,0.0569526627218935,0.194444444444444,0.0531914893617021,0,0.0266272189349112,0.973372781065089,0,0.0909090909090909,0.909090909090909,0
2017,"Córdoba",8387,911,390,179,7995,732,2,0,0.108620484082509,0.458974358974359,0.0915572232645403,0,0.0465005365446524,0.953260999165375,0.000238464289972577,0.19648737650933,0.80351262349067,0
2017,"Formosa",625,103,39,21,582,82,4,0,0.1648,0.538461538461538,0.140893470790378,0,0.0624,0.9312,0.0064,0.203883495145631,0.796116504854369,0
2017,"Salta",2962,399,157,84,2805,315,0,0,0.134706279540851,0.535031847133758,0.112299465240642,0,0.0530047265361242,0.946995273463876,0,0.210526315789474,0.789473684210526,0
2018,"Buenos Aires",42460,5025,1600,636,40781,4342,79,47,0.118346679227508,0.3975,0.106471150781001,0.594936708860759,0.0376825247291569,0.960456900612341,0.00186057465850212,0.126567164179104,0.86407960199005,0.00935323383084577
2018,"Chaco",1319,83,35,9,1284,74,0,0,0.0629264594389689,0.257142857142857,0.0576323987538941,0,0.0265352539802881,0.973464746019712,0,0.108433734939759,0.891566265060241,0
2018,"Córdoba",9205,1165,455,205,8750,960,0,0,0.12656165127648,0.450549450549451,0.109714285714286,0,0.0494296577946768,0.950570342205323,0,0.175965665236052,0.824034334763948,0
