"anio_censo","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"presos_totales",12987,20306,21859,23049,23015,26593,27066,26888,28094,30571,32253,33698,37586,42460,45392
"presos_ley23737",45,391,1084,1514,1744,2199,2516,2544,2576,2504,2652,2761,3801,5025,5459
"Primario incompleto_total",3308,4883,4596,5000,5541,6774,7608,6849,8842,10188,8331,9532,9990,9076,10439
"Primario incompleto_droga",6,87,218,319,378,495,567,613,749,877,561,746,845,942,1092
"Primario completo_total",6716,10308,11083,11196,10308,11240,11293,11964,11311,12716,14105,13071,14592,17279,17254
"Primario completo_droga",23,202,548,719,796,983,1119,1118,1062,982,1106,1118,1529,1898,2017
"Secundario incompleto_total",1285,2128,2573,2727,2965,3394,3477,3439,3350,3586,4078,5036,5642,6786,7909
"Secundario incompleto_droga",11,51,155,220,263,320,357,359,373,308,329,412,598,892,1078
"Ninguno_total",752,1095,1420,1647,1213,1937,1394,1976,2327,1420,2833,2845,3873,4793,2823
"Ninguno_droga",0,15,73,114,106,157,122,180,175,114,359,189,403,713,351
"Universitario completo_total",13,26,27,19,24,25,38,35,35,35,45,42,44,76,68
"Universitario completo_droga",0,0,1,0,2,0,2,1,3,2,2,2,3,4,1
"Secundario completo_total",448,797,923,1021,957,1224,1534,1426,1416,1522,2145,2336,2647,3802,4437
"Secundario completo_droga",4,25,69,92,102,135,184,174,159,142,230,209,346,497,617
"Terciario completo_total",38,53,55,70,70,87,112,104,106,91,110,140,167,212,248
"Terciario completo_droga",0,1,2,5,5,7,17,10,10,9,18,15,14,31,26
"Terciario incompleto_total",37,62,58,73,58,122,88,113,158,95,127,233,145,131,203
"Terciario incompleto_droga",0,2,4,8,4,8,6,10,16,10,16,29,28,21,36
"Polimodal Incompleto_total",15,89,62,81,103,110,65,69,14,68,5,0,0,0,0
"Polimodal Incompleto_droga",0,2,0,2,12,9,7,4,1,4,0,0,0,0,0
"EGB 3 Completo_total",5,80,28,53,82,77,136,43,7,36,4,0,0,0,0
"EGB 3 Completo_droga",0,4,0,4,3,9,12,0,0,3,0,0,0,0,0
"EGB 2 Completo_total",3,107,93,36,45,26,91,26,21,4,6,0,0,0,0
"EGB 2 Completo_droga",0,0,0,1,7,2,10,2,1,0,0,0,0,0,0
"EGB 1 Incompleto_total",14,23,57,23,84,129,116,153,19,38,4,0,0,0,0
"EGB 1 Incompleto_droga",0,0,1,0,1,8,7,13,1,5,0,0,0,0,0
"Universitario incompleto_total",18,72,72,60,65,80,78,92,78,63,81,145,126,119,226
"Universitario incompleto_droga",0,1,2,4,5,3,2,5,2,3,11,13,10,11,16
"EGB 1 Completo_total",19,88,40,25,93,136,82,88,49,3,15,0,0,0,0
"EGB 1 Completo_droga",0,0,0,0,6,6,8,3,2,0,0,0,0,0,0
"EGB 3 Incompleto_total",3,93,30,44,145,102,188,17,21,62,1,0,0,0,0
"EGB 3 Incompleto_droga",0,0,1,0,6,13,20,0,0,4,0,0,0,0,0
"Polimodal Completo_total",13,33,9,16,30,34,18,13,3,27,4,0,0,0,0
"Polimodal Completo_droga",0,0,0,1,0,1,0,0,0,3,2,0,0,0,0
"EGB 2 Incompleto_total",3,52,7,45,19,50,40,10,22,5,11,0,0,0,0
"EGB 2 Incompleto_droga",0,0,1,1,0,7,5,0,2,0,1,0,0,0,0
"porcen_ley23737",0.00346500346500346,0.0192553924948291,0.049590557665035,0.065686146904421,0.0757766673908321,0.0826909337043583,0.0929579546294244,0.0946146980065457,0.0916921762653947,0.0819076902947238,0.0822249093107618,0.0819336459137041,0.101128079604108,0.118346679227508,0.120263482551992
"total_porcen_Primario_incompleto",0.260677698975571,0.244284356396018,0.217479770974306,0.225876400433683,0.25415099532153,0.265158335616706,0.288641019804234,0.259264867320286,0.318297994888225,0.340064755165393,0.261118946873531,0.285560215698023,0.268360823080643,0.214694611345035,0.239388171623822
"total_porcen_Primario_completo",0.529235618597321,0.515683625994297,0.524440448587517,0.505782435851102,0.472800660489863,0.439973382393236,0.428446771378709,0.452890184350986,0.407178084164297,0.424446743883307,0.442093715718539,0.3915817855003,0.39198409713641,0.408738231537115,0.395670419886715
"total_porcen_Secundario_incompleto",0.101260835303388,0.106458552203712,0.121752709033266,0.123192988796531,0.135996697550683,0.132853172583865,0.131914409287503,0.130181322633153,0.120594693833471,0.119696919122801,0.127816956589876,0.150868783702816,0.151560737119218,0.16052419927142,0.181369963537964
"total_porcen_Secundario_completo",0.0353033884948779,0.0398719295612587,0.0436757677565892,0.046123960968558,0.0438950554994955,0.0479116921752065,0.0581986493664163,0.0539803914146194,0.0509737571546852,0.0508027637771621,0.0672308415608839,0.0699820251647693,0.0711062160855316,0.0899370771632682,0.101749719081799
"total_porcen_Ninguno",0.0592592592592593,0.054780129070989,0.0671934888562911,0.0744036863028551,0.0556370975139895,0.0758210357380514,0.0528871689809546,0.0748003179770602,0.0837683141941754,0.0473981107513602,0.0887948597398527,0.085230677052127,0.104040186966099,0.11337938212613,0.0647373128167496
"total_porcen_Universitario_completo",0.00102442868400315,0.00130071539346641,0.00127762267543652,0.000858330321647994,0.00110081643885882,0.000978588483970721,0.00144168753319675,0.00132490441760987,0.00125994456243925,0.00116826329316733,0.00141043723554302,0.00125823846614739,0.00118196959114597,0.00179779533519421,0.00155938266792029
"total_porcen_Universitario_incompleto",0.00141843971631206,0.00360198108959928,0.00340699380116406,0.00271051680520419,0.00298137785524264,0.00313148314870631,0.00295925335761439,0.00348260589771738,0.00280787645343605,0.00210287392770119,0.00253878702397743,0.00434391851408029,0.00338473110191801,0.00281496901168567,0.00518265416102919
"total_porcen_Terciario_completo",0.00299448384554768,0.00265145830206614,0.00260256470922254,0.00316226960607156,0.00321071461333823,0.00340548792421811,0.00424918430836938,0.00393685884089791,0.00381583210338745,0.00303748456223505,0.00344773546466071,0.00419412822049131,0.00448611185730404,0.00501490277712069,0.00568716031829752
"total_porcen_Terciario_incompleto",0.00291568163908589,0.00310170593826605,0.00274452278427105,0.00329779544633177,0.00266030639390882,0.00477551180177712,0.0033386448137188,0.0042775485482833,0.00568774973901148,0.00317100036716846,0.00398056730919919,0.00698022768124626,0.00389512706173105,0.00309883143303212,0.00465521590570321
"total_porcen_Polimodal_Incompleto",0.00118203309692671,0.00445244884686578,0.00293380021766905,0.00365919768702566,0.0047243372167691,0.00430578932947117,0.00246604446467866,0.00261195442328803,0.000503977824975701,0.00226976868386795,0.000156715248393669,0,0,0,0
"total_porcen_Polimodal_Completo",0.00102442868400315,0.00165090799939967,0.000425874225145507,0.000722804481387785,0.00137602054857353,0.00133088033820018,0.000682904620987935,0.000492107355112238,0.000107995248209079,0.000901231683300511,0.000125372198714935,0,0,0,0
"total_porcen_EGB_3_Completo",0.000394011032308905,0.00400220121066587,0.00132494203378602,0.00239428984459704,0.00376112283276764,0.00301405253062982,0.00515972380301996,0.00162773971306356,0.000251988912487851,0.00120164224440068,0.000125372198714935,0,0,0,0
"total_porcen_EGB_3_Incompleto",0.000236406619385343,0.00465255890739907,0.00141958075048502,0.00198771232381641,0.00665076598477204,0.00399264101460054,0.00713255937476288,0.000643525002839081,0.000755966737463552,0.00206949497646784,0.0000313430496787337,0,0,0,0
"total_porcen_EGB_2_Completo",0.000236406619385343,0.0053529441192656,0.00440070032650357,0.00162631008312252,0.00206403082286029,0.00101773202332955,0.00345246225055012,0.000984214710224477,0.000755966737463552,0.000133515804933409,0.000188058298072402,0,0,0,0
"total_porcen_EGB_2_Incompleto",0.000236406619385343,0.00260143078693281,0.000331235508446505,0.00203288760390314,0.000871479680763233,0.00195717696794144,0.00151756582441763,0.000378544119317106,0.000791965153533245,0.000166894756166761,0.000344773546466071,0,0,0,0
"total_porcen_EGB_1_Completo",0.00149724192277384,0.00440242133173245,0.00189277433398003,0.00112938200216841,0.00426566370057793,0.00532352135280072,0.00311100994005615,0.00333118824999054,0.00176392238741495,0.000100136853700057,0.000470145745181006,0,0,0,0
"total_porcen_EGB_1_Incompleto",0.00110323089046493,0.00115063284806644,0.00269720342592154,0.00103903144199494,0.00385285753600587,0.00504951657728892,0.00440094089081114,0.00579172502555173,0.000683969905324166,0.00126840014686739,0.000125372198714935,0,0,0,0
"droga_porcen_Primario_incompleto",0.136363636363636,0.223076923076923,0.202790697674419,0.214093959731544,0.222877358490566,0.228848821081831,0.231901840490798,0.245987158908507,0.293035993740219,0.355636658556367,0.212903225806452,0.27296011708745,0.223781779661017,0.188061489319225,0.208635842567826
"droga_porcen_Primario_completo",0.522727272727273,0.517948717948718,0.509767441860465,0.48255033557047,0.469339622641509,0.454461396208969,0.457668711656442,0.448635634028892,0.415492957746479,0.398215733982157,0.419734345351044,0.409074277350896,0.404925847457627,0.378917947694151,0.38536492166603
"droga_porcen_Secundario_incompleto",0.25,0.130769230769231,0.144186046511628,0.147651006711409,0.155070754716981,0.147942672214517,0.14601226993865,0.144060995184591,0.145931142410016,0.124898621248986,0.124857685009488,0.15075009147457,0.158368644067797,0.178079456977441,0.205961024073366
"droga_porcen_Secundario_completo",0.0909090909090909,0.0641025641025641,0.0641860465116279,0.061744966442953,0.0601415094339623,0.0624133148404993,0.0752556237218814,0.0698234349919743,0.0622065727699531,0.0575831305758313,0.0872865275142315,0.0764727405781193,0.0916313559322034,0.0992214014773408,0.117883072220099
"droga_porcen_Ninguno",0,0.0384615384615385,0.067906976744186,0.076510067114094,0.0625,0.0725843735552473,0.0498977505112474,0.07223113964687,0.0684663536776213,0.0462287104622871,0.136242884250474,0.0691547749725576,0.106726694915254,0.142343781193851,0.0670615208253726
"droga_porcen_Universitario_completo",0,0,0.000930232558139535,0,0.00117924528301887,0,0.00081799591002045,0.000401284109149278,0.00117370892018779,0.0008110300081103,0.000759013282732448,0.000731796560556165,0.000794491525423729,0.000798562587342783,0.00019105846388995
"droga_porcen_Universitario_incompleto",0,0.00256410256410256,0.00186046511627907,0.00268456375838926,0.00294811320754717,0.0013869625520111,0.00081799591002045,0.00200642054574639,0.000782472613458529,0.00121654501216545,0.00417457305502846,0.00475667764361508,0.00264830508474576,0.00219604711519265,0.00305693542223921
"droga_porcen_Terciario_completo",0,0.00256410256410256,0.00186046511627907,0.00335570469798658,0.00294811320754717,0.00323624595469256,0.00695296523517382,0.00401284109149278,0.00391236306729264,0.00364963503649635,0.00683111954459203,0.00548847420417124,0.00370762711864407,0.00618886005190657,0.00496752006113871
"droga_porcen_Terciario_incompleto",0,0.00512820512820513,0.00372093023255814,0.00536912751677852,0.00235849056603774,0.00369856680536292,0.00245398773006135,0.00401284109149278,0.00625978090766823,0.0040551500405515,0.00607210626185958,0.0106110501280644,0.00741525423728814,0.00419245358354961,0.00687810470003821
"droga_porcen_Polimodal_Incompleto",0,0.00512820512820513,0,0.00134228187919463,0.00707547169811321,0.00416088765603329,0.00286298568507157,0.00160513643659711,0.000391236306729264,0.0016220600162206,0,0,0,0,0
"droga_porcen_Polimodal_Completo",0,0,0,0.000671140939597315,0,0.000462320850670365,0,0,0,0.00121654501216545,0.000759013282732448,0,0,0,0
"droga_porcen_EGB_3_Completo",0,0.0102564102564103,0,0.00268456375838926,0.0017688679245283,0.00416088765603329,0.0049079754601227,0,0,0.00121654501216545,0,0,0,0,0
"droga_porcen_EGB_3_Incompleto",0,0,0.000930232558139535,0,0.0035377358490566,0.00601017105871475,0.0081799591002045,0,0,0.0016220600162206,0,0,0,0,0
"droga_porcen_EGB_2_Completo",0,0,0,0.000671140939597315,0.00412735849056604,0.00092464170134073,0.00408997955010225,0.000802568218298555,0.000391236306729264,0,0,0,0,0,0
"droga_porcen_EGB_2_Incompleto",0,0,0.000930232558139535,0.000671140939597315,0,0.00323624595469256,0.00204498977505112,0,0.000782472613458529,0,0.000379506641366224,0,0,0,0
"droga_porcen_EGB_1_Completo",0,0,0,0,0.0035377358490566,0.00277392510402219,0.0032719836400818,0.00120385232744783,0.000782472613458529,0,0,0,0,0,0
"droga_porcen_EGB_1_Incompleto",0,0,0.000930232558139535,0,0.000589622641509434,0.00369856680536292,0.00286298568507157,0.00521669341894061,0.000391236306729264,0.00202757502027575,0,0,0,0,0
