"anio_censo","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"presos_totales",12987,20306,21859,23049,23015,26593,27066,26888,28094,30571,32253,33698,37586,42460,45392
"presos_ley23737",45,391,1084,1514,1744,2199,2516,2544,2576,2504,2652,2761,3801,5025,5459
"Desocupado_total",6079,8701,10432,9245,8243,10204,10527,10263,11500,14007,16357,14722,18046,20200,20293
"Desocupado_droga",6,132,464,582,626,908,994,1167,1141,1171,1216,1093,1743,2331,2314
"Trabajador de tiempo completo_total",1445,3821,4451,3980,3833,4683,5536,5199,5863,4400,4944,6212,5701,6639,7051
"Trabajador de tiempo completo_droga",22,118,249,299,315,330,547,465,577,370,458,550,668,837,829
"Trabajador de tiempo parcial_total",3857,6540,5584,6959,7001,8328,8018,9801,9079,10278,9423,11271,12922,15518,18009
"Trabajador de tiempo parcial_droga",16,140,352,585,607,824,768,755,728,802,831,1003,1354,1846,2314
"porcen_ley23737",0.00346500346500346,0.0192553924948291,0.049590557665035,0.065686146904421,0.0757766673908321,0.0826909337043583,0.0929579546294244,0.0946146980065457,0.0916921762653947,0.0819076902947238,0.0822249093107618,0.0819336459137041,0.101128079604108,0.118346679227508,0.120263482551992
"total_porcen_Desocupado",0.534135840435814,0.4564578743049,0.509698539111741,0.45803606817281,0.432090999633066,0.439543398664656,0.437149620032391,0.406246289039306,0.434914151728311,0.488303991633258,0.532385106105976,0.457133985405993,0.492132318852437,0.47689874164837,0.44744559345578
"total_porcen_Trabajador_de_tiempo_completo",0.126965995958176,0.200451159374672,0.217472028142864,0.197185889813714,0.200922576925093,0.201723023906957,0.229890785266393,0.205795036218976,0.22173058013766,0.153390273662193,0.160916547324567,0.192889302903276,0.155471924513895,0.156739145831858,0.155469318457434
"total_porcen_Trabajador_de_tiempo_parcial",0.33889816360601,0.343090966320428,0.272829432745395,0.344778042013476,0.366986423441841,0.358733577428387,0.332959594701217,0.387958674741717,0.343355268134029,0.358305734704549,0.306698346569457,0.349976711690731,0.352395756633669,0.366362112519772,0.397085088086786
"droga_porcen_Desocupado",0.136363636363636,0.338461538461538,0.435680751173709,0.39699863574352,0.404392764857881,0.440349175557711,0.430489389346037,0.488898198575618,0.4664758789861,0.499786598378148,0.485429141716567,0.41307634164777,0.462948207171315,0.464898284802553,0.424042514201942
"droga_porcen_Trabajador_de_tiempo_completo",0.5,0.302564102564103,0.233802816901408,0.203956343792633,0.203488372093023,0.16003879728419,0.236899090515375,0.194805194805195,0.235895339329518,0.157917200170721,0.182834331337325,0.207860922146636,0.17742363877822,0.166932588751496,0.151914971596115
"droga_porcen_Trabajador_de_tiempo_parcial",0.363636363636364,0.358974358974359,0.330516431924883,0.399045020463847,0.392118863049096,0.399612027158099,0.332611520138588,0.316296606619187,0.297628781684383,0.342296201451131,0.331736526946108,0.379062736205593,0.359628154050465,0.368169126445951,0.424042514201942
