"anio_censo","presos_totales","presos_ley23737","porcen_ley23737"
2005,12987,45,0.346500346500347
2006,20306,391,1.92553924948291
2007,21859,1084,4.9590557665035
2008,23049,1514,6.5686146904421
2009,23015,1744,7.57766673908321
2010,26593,2199,8.26909337043583
2011,27066,2516,9.29579546294244
2012,26888,2544,9.46146980065457
2013,28094,2576,9.16921762653947
2014,30571,2504,8.19076902947238
2015,32253,2652,8.22249093107618
2016,33698,2761,8.19336459137041
2017,37586,3801,10.1128079604108
2018,42460,5025,11.8346679227508
2019,45392,5459,12.0263482551992
