"","anio_censo","provincia_descripcion","establecimiento_descripcion","cantidad_total","cantidad_droga","prop_droga"
"1",2019,"Buenos Aires","UNIDAD  1 - LISANDRO OLMOS",2644,262,0.0990922844175492
"2",2019,"Buenos Aires","UNIDAD  2 - SIERRA CHICA",2107,137,0.0650213573801614
"3",2019,"Buenos Aires","UNIDAD 30 - GENERAL ALVEAR",2006,116,0.0578265204386839
"4",2019,"Buenos Aires","UNIDAD  9 - LA PLATA",1866,176,0.0943193997856377
"5",2019,"Buenos Aires","UNIDAD 23 - FLORENCIO VARELA",1610,221,0.137267080745342
"6",2019,"Buenos Aires","UNIDAD 24 - FLORENCIO VARELA",1577,205,0.12999365884591
"7",2019,"Buenos Aires","UNIDAD 35 - MAGDALENA",1493,226,0.151373074346952
"8",2019,"Buenos Aires","UNIDAD  5 - MERCEDES",1398,165,0.118025751072961
"9",2019,"Buenos Aires","UNIDAD 15 - MAR DEL PLATA (BATAN)",1351,93,0.0688378978534419
"10",2019,"Buenos Aires","UNIDAD 42 - FLORENCIO VARELA",1218,53,0.0435139573070608
"11",2019,"Buenos Aires","UNIDAD 21 - CAMPANA",1205,154,0.127800829875519
"12",2019,"Buenos Aires","UNIDAD 13 - JUNIN",1134,202,0.178130511463845
"13",2019,"Buenos Aires","UNIDAD 28 - MAGDALENA",1107,192,0.173441734417344
"14",2019,"Buenos Aires","UNIDAD 46 - SAN MARTIN",1085,222,0.204608294930876
"15",2019,"Buenos Aires","UNIDAD 48 - SAN MARTIN",1083,41,0.0378578024007387
"16",2019,"Buenos Aires","UNIDAD 32 - FLORENCIO VARELA",1045,189,0.180861244019139
"17",2019,"Buenos Aires","UNIDAD 19 - SAAVEDRA",967,68,0.0703205791106515
"18",2019,"Buenos Aires","UNIDAD 40 - LOMAS DE ZAMORA",964,284,0.294605809128631
"19",2019,"Buenos Aires","UNIDAD  4 - BAHIA BLANCA",959,125,0.130344108446298
"20",2019,"Buenos Aires","UNIDAD  6 - DOLORES",931,96,0.103114930182599
"21",2019,"Buenos Aires","UNIDAD 17 - URDAMPILLETA",913,82,0.0898138006571741
"22",2019,"Buenos Aires","UNIDAD 43 - GONZALEZ CATAN",889,152,0.170978627671541
"23",2019,"Buenos Aires","UNIDAD 38 - SIERRA CHICA",886,55,0.0620767494356659
"24",2019,"Buenos Aires","UNIDAD  3 - SAN NICOLAS",872,111,0.127293577981651
"25",2019,"Buenos Aires","UNIDAD 37 - BARKER",826,73,0.0883777239709443
"26",2019,"Buenos Aires","UNIDAD 36 - MAGDALENA",764,39,0.0510471204188482
"27",2019,"Buenos Aires","UNIDAD 39 - ITUZAINGÓ",740,143,0.193243243243243
"28",2019,"Buenos Aires","UNIDAD 47 - SAN ISIDRO",708,137,0.193502824858757
"29",2019,"Buenos Aires","UNIDAD 18 - JOAQUIN GORINA",661,35,0.0529500756429652
"30",2019,"Buenos Aires","UNIDAD 54 - FLORENCIO VARELA",581,69,0.118760757314974
"31",2019,"Buenos Aires","UNIDAD 57 - CAMPANA (JOVENES ADULTOS)",556,35,0.0629496402877698
"32",2019,"Buenos Aires","UNIDAD 45 - MELCHOR ROMERO",530,42,0.0792452830188679
"33",2019,"Buenos Aires","UNIDAD 26 - LISANDRO OLMOS",466,65,0.139484978540773
"34",2019,"Buenos Aires","ALCAIDIA PENITENCIARIA BATAN (EX U.44)",420,64,0.152380952380952
"35",2019,"Buenos Aires","UNIDAD  7 - AZUL",325,50,0.153846153846154
"36",2019,"Buenos Aires","UNIDAD 34 - MELCHOR ROMERO",320,2,0.00625
"37",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL LA PLATA III",313,97,0.309904153354633
"38",2019,"Buenos Aires","UNIDAD 33 - LOS HORNOS (MUJERES)",270,154,0.57037037037037
"39",2019,"Buenos Aires","UNIDAD  8 - LOS HORNOS (MUJERES)",239,98,0.410041841004184
"40",2019,"Buenos Aires","UNIDAD 41 - CAMPANA",236,7,0.0296610169491525
"41",2019,"Buenos Aires","UNIDAD 51 - MAGDALENA (MUJERES)",230,88,0.382608695652174
"42",2019,"Buenos Aires","UNIDAD 25 - LISANDRO OLMOS",215,27,0.125581395348837
"43",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL LOMAS DE ZAMORA",208,50,0.240384615384615
"44",2019,"Buenos Aires","UNIDAD 11 - BARADERO",192,10,0.0520833333333333
"45",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL SAN MARTIN",191,37,0.193717277486911
"46",2019,"Buenos Aires","UNIDAD 27 - SIERRA CHICA",188,3,0.0159574468085106
"47",2019,"Buenos Aires","UNIDAD 10 - MELCHOR ROMERO",163,9,0.0552147239263804
"48",2019,"Buenos Aires","UNIDAD 16 - JUNIN",158,16,0.10126582278481
"49",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL CAMPANA",143,18,0.125874125874126
"50",2019,"Buenos Aires","UNIDAD 12 - JOAQUIN GORINA",141,5,0.0354609929078014
