"","anio_censo","provincia_descripcion","establecimiento_descripcion","cantidad_total","cantidad_droga","prop_droga"
"1",2019,"Buenos Aires","UNIDAD  1 - LISANDRO OLMOS",2644,262,9.90922844175492
"2",2019,"Buenos Aires","UNIDAD  2 - SIERRA CHICA",2107,137,6.50213573801614
"3",2019,"Buenos Aires","UNIDAD 30 - GENERAL ALVEAR",2006,116,5.78265204386839
"4",2019,"Buenos Aires","UNIDAD  9 - LA PLATA",1866,176,9.43193997856377
"5",2019,"Buenos Aires","UNIDAD 23 - FLORENCIO VARELA",1610,221,13.7267080745342
"6",2019,"Buenos Aires","UNIDAD 24 - FLORENCIO VARELA",1577,205,12.999365884591
"7",2019,"Buenos Aires","UNIDAD 35 - MAGDALENA",1493,226,15.1373074346952
"8",2019,"Buenos Aires","UNIDAD  5 - MERCEDES",1398,165,11.8025751072961
"9",2019,"Buenos Aires","UNIDAD 15 - MAR DEL PLATA (BATAN)",1351,93,6.88378978534419
"10",2019,"Buenos Aires","UNIDAD 42 - FLORENCIO VARELA",1218,53,4.35139573070608
"11",2019,"Buenos Aires","UNIDAD 21 - CAMPANA",1205,154,12.7800829875519
"12",2019,"Buenos Aires","UNIDAD 13 - JUNIN",1134,202,17.8130511463845
"13",2019,"Buenos Aires","UNIDAD 28 - MAGDALENA",1107,192,17.3441734417344
"14",2019,"Buenos Aires","UNIDAD 46 - SAN MARTIN",1085,222,20.4608294930876
"15",2019,"Buenos Aires","UNIDAD 48 - SAN MARTIN",1083,41,3.78578024007387
"16",2019,"Buenos Aires","UNIDAD 32 - FLORENCIO VARELA",1045,189,18.0861244019139
"17",2019,"Buenos Aires","UNIDAD 19 - SAAVEDRA",967,68,7.03205791106515
"18",2019,"Buenos Aires","UNIDAD 40 - LOMAS DE ZAMORA",964,284,29.4605809128631
"19",2019,"Buenos Aires","UNIDAD  4 - BAHIA BLANCA",959,125,13.0344108446298
"20",2019,"Buenos Aires","UNIDAD  6 - DOLORES",931,96,10.3114930182599
"21",2019,"Buenos Aires","UNIDAD 17 - URDAMPILLETA",913,82,8.98138006571742
"22",2019,"Buenos Aires","UNIDAD 43 - GONZALEZ CATAN",889,152,17.0978627671541
"23",2019,"Buenos Aires","UNIDAD 38 - SIERRA CHICA",886,55,6.20767494356659
"24",2019,"Buenos Aires","UNIDAD  3 - SAN NICOLAS",872,111,12.7293577981651
"25",2019,"Buenos Aires","UNIDAD 37 - BARKER",826,73,8.83777239709443
"26",2019,"Buenos Aires","UNIDAD 36 - MAGDALENA",764,39,5.10471204188482
"27",2019,"Buenos Aires","UNIDAD 39 - ITUZAINGÓ",740,143,19.3243243243243
"28",2019,"Buenos Aires","UNIDAD 47 - SAN ISIDRO",708,137,19.3502824858757
"29",2019,"Buenos Aires","UNIDAD 18 - JOAQUIN GORINA",661,35,5.29500756429652
"30",2019,"Buenos Aires","UNIDAD 54 - FLORENCIO VARELA",581,69,11.8760757314974
"31",2019,"Buenos Aires","UNIDAD 57 - CAMPANA (JOVENES ADULTOS)",556,35,6.29496402877698
"32",2019,"Buenos Aires","UNIDAD 45 - MELCHOR ROMERO",530,42,7.92452830188679
"33",2019,"Buenos Aires","UNIDAD 26 - LISANDRO OLMOS",466,65,13.9484978540773
"34",2019,"Buenos Aires","ALCAIDIA PENITENCIARIA BATAN (EX U.44)",420,64,15.2380952380952
"35",2019,"Buenos Aires","UNIDAD  7 - AZUL",325,50,15.3846153846154
"36",2019,"Buenos Aires","UNIDAD 34 - MELCHOR ROMERO",320,2,0.625
"37",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL LA PLATA III",313,97,30.9904153354633
"38",2019,"Buenos Aires","UNIDAD 33 - LOS HORNOS (MUJERES)",270,154,57.037037037037
"39",2019,"Buenos Aires","UNIDAD  8 - LOS HORNOS (MUJERES)",239,98,41.0041841004184
"40",2019,"Buenos Aires","UNIDAD 41 - CAMPANA",236,7,2.96610169491525
"41",2019,"Buenos Aires","UNIDAD 51 - MAGDALENA (MUJERES)",230,88,38.2608695652174
"42",2019,"Buenos Aires","UNIDAD 25 - LISANDRO OLMOS",215,27,12.5581395348837
"43",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL LOMAS DE ZAMORA",208,50,24.0384615384615
"44",2019,"Buenos Aires","UNIDAD 11 - BARADERO",192,10,5.20833333333333
"45",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL SAN MARTIN",191,37,19.3717277486911
"46",2019,"Buenos Aires","UNIDAD 27 - SIERRA CHICA",188,3,1.59574468085106
"47",2019,"Buenos Aires","UNIDAD 10 - MELCHOR ROMERO",163,9,5.52147239263804
"48",2019,"Buenos Aires","UNIDAD 16 - JUNIN",158,16,10.126582278481
"49",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL CAMPANA",143,18,12.5874125874126
"50",2019,"Buenos Aires","UNIDAD 12 - JOAQUIN GORINA",141,5,3.54609929078014
"51",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL AVELLANEDA",139,36,25.8992805755396
"52",2019,"Buenos Aires","UNIDAD 20 - TRENQUEN LAUQUEN",134,35,26.1194029850746
"53",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL ROBERTO PETTINATO",132,21,15.9090909090909
"54",2019,"Buenos Aires","UNIDAD 14 - GENERAL ALVEAR",131,5,3.81679389312977
"55",2019,"Buenos Aires","UNIDAD 50 - MAR DEL PLATA",110,28,25.4545454545455
"56",2019,"Buenos Aires","UNIDAD 52 - AZUL",109,34,31.1926605504587
"57",2019,"Buenos Aires","ALCAIDIA PENITENCIARIA VIRREY DEL PINO (EX U.56)",96,17,17.7083333333333
"58",2019,"Buenos Aires","UNIDAD 22 - HO.G.A.M.",65,7,10.7692307692308
"59",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL JOSE C. PAZ (EX U.55)",57,6,10.5263157894737
"60",2019,"Buenos Aires","ALCAIDIA DEPARTAMENTAL LA PLATA  II",55,13,23.6363636363636
"61",2019,"Buenos Aires","ALCAIDIA PENITENCIARIA MALVINAS ARGENTINAS (EX U.53)",34,5,14.7058823529412
